Comment,Designator,Footprint,LCSC,Quantity
4.7uF,C2,C_0402_1005Metric,,1
4.7uF,C11,C_0402_1005Metric,,1
TPS7A02DBV,U4,TSOT-23-5,,1
1uf,C3,C_0402_1005Metric,,1
4.7uF,C5,C_0402_1005Metric,,1
BQ25185DLHR,U1,IC_BQ25185DLHR,,1
18k,R16,R_0402_1005Metric,,1
1uf,C1,C_0402_1005Metric,,1
1.2k,R15,R_0402_1005Metric,,1
WE-TVS-82400102,U3,SOT-23-6,,1
4.7k,R4,R_0402_1005Metric,,1
Conn_01x05_MountingPin,J5,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,,1
56k,R11,R_0402_1005Metric,,1
100k,R12,R_0402_1005Metric,,1
4.7k,R8,R_0402_1005Metric,,1
4.7k,R5,R_0402_1005Metric,,1
4.7k,R13,R_0402_1005Metric,,1
5.1k,R2,R_0402_1005Metric,,1
32.768khz,Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,,1
12pF,C7,C_0402_1005Metric,,1
Conn_01x03_MountingPin,J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,,1
Conn_01x05_MountingPin,J4,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,,1
5.1k,R1,R_0402_1005Metric,,1
10uF,C13,C_0402_1005Metric,,1
LED,D3,LED_0402_1005Metric,,1
4.7R,R3,R_0805_2012Metric,,1
0.1uF,C9,C_0402_1005Metric,,1
LED,D2,LED_0402_1005Metric,,1
0.1uF,C10,C_0402_1005Metric,,1
0.1uF,C6,C_0402_1005Metric,,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4110,,1
10k,R7,R_0402_1005Metric,,1
MDBT50Q-1MV2,U2,Raytac_MDBT50Q,,1
10uF,C4,C_0402_1005Metric,,1
22,R10,R_0402_1005Metric,,1
12pF,C8,C_0402_1005Metric,,1
10k,R6,R_0402_1005Metric,,1
56k,R14,R_0402_1005Metric,,1
22,R9,R_0402_1005Metric,,1
TMAG5173A1QDBVRQ1,U5,SOT-23-6,,1
SW_SPDT,SW1,SW_E-Switch_EG1271_SPDT,,1
SW_Push,SW2,SW_Push_1P1T_NO_CK_KSC6xxG,,1
